,Dishes,sum_Energy,sum_Protein,sum_TotalFat,sum_SaturatedFat,sum_TransFat,sum_Carbohydrate,sum_Sugars,sum_Sodium,Types
611,"Sweet_Pepper_Garlic_Chicken_Breast,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",911,74.1,38.199999999999996,3.9,0,67.8,6.6,2066,"Meat,Sandwich,Wrap"
612,"Sweet_Pepper_Garlic_Chicken_Breast,Chef_Salad,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",825,71.19999999999999,36.4,3.1,0,53.099999999999994,6.6,1938,"Meat,Salad,Wrap"
613,"Chicken_Caesar_Salad,Sweet_Pepper_Garlic_Chicken_Breast,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",814,73.6,35.599999999999994,3.1,0,50.0,7.2,1925,"Meat,Salad,Wrap"
614,"Caesar_Chicken_Cold_Wrap,Sweet_Pepper_Garlic_Chicken_Breast,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",811,73.3,35.400000000000006,7.3,0,49.900000000000006,6.2,1886,"Meat,Sandwich,Wrap"
615,"Caesar_Chicken_Cold_Wrap,Ham_Cheese_&_Pickle_Sandwich,Sweet_Pepper_Garlic_Chicken_Breast,Herbs_Chicken_Breast",755,72.6,27.8,5.7,0,53.7,7.0,1945,"Meat,Sandwich,Wrap"
616,"Caesar_Chicken_Cold_Wrap,Sweet_Pepper_Garlic_Chicken_Breast,Super_Club_Sandwich,Herbs_Chicken_Breast",723,71.5,26.200000000000003,4.9,0,50.5,5.7,1792,"Meat,Sandwich,Wrap"
617,"Caesar_Chicken_Cold_Wrap,Sweet_Pepper_Garlic_Chicken_Breast,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",781,73.8,29.9,4.9,0,54.2,4.6,1866,"Meat,Sandwich,Wrap"
618,"Caesar_Chicken_Cold_Wrap,Sweet_Pepper_Garlic_Chicken_Breast,Chef_Salad,Herbs_Chicken_Breast",695,70.89999999999999,28.1,4.1,0,39.5,4.6,1738,"Meat,Salad,Wrap"
619,"Caesar_Chicken_Cold_Wrap,Chicken_Caesar_Salad,Sweet_Pepper_Garlic_Chicken_Breast,Herbs_Chicken_Breast",684,73.3,27.3,4.1,0,36.400000000000006,5.2,1725,"Meat,Salad,Wrap"
620,"Ham_Cheese_&_Pickle_Sandwich,Sweet_Pepper_Garlic_Chicken_Breast,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",691,61.099999999999994,31.0,7.0,0,42.0,7.7,1933,"Meat,Sandwich"
621,"Sweet_Pepper_Garlic_Chicken_Breast,Bacon_&_Egg_Mayo_Sandwich,Super_Club_Sandwich,Herbs_Chicken_Breast",659,60.0,29.4,6.199999999999999,0,38.8,6.4,1780,"Meat,Sandwich"
622,"Smoked_Salmon_&_Egg_Mayo_Sandwich,Sweet_Pepper_Garlic_Chicken_Breast,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",717,62.3,33.1,6.199999999999999,0,42.5,5.300000000000001,1854,"Meat,Sandwich"
623,"Sweet_Pepper_Garlic_Chicken_Breast,Chef_Salad,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",631,59.4,31.3,5.4,0,27.8,5.300000000000001,1726,"Meat,Salad,Sandwich"
624,"Chicken_Caesar_Salad,Sweet_Pepper_Garlic_Chicken_Breast,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",620,61.8,30.5,5.4,0,24.7,5.9,1713,"Meat,Salad,Sandwich"
625,"Ham_Cheese_&_Pickle_Sandwich,Sweet_Pepper_Garlic_Chicken_Breast,Super_Club_Sandwich,Herbs_Chicken_Breast",603,59.3,21.8,4.6,0,42.6,7.2,1839,"Meat,Sandwich"
626,"Ham_Cheese_&_Pickle_Sandwich,Sweet_Pepper_Garlic_Chicken_Breast,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",661,61.599999999999994,25.5,4.6,0,46.3,6.1,1913,"Meat,Sandwich"
627,"Ham_Cheese_&_Pickle_Sandwich,Sweet_Pepper_Garlic_Chicken_Breast,Chef_Salad,Herbs_Chicken_Breast",575,58.699999999999996,23.700000000000003,3.8000000000000003,0,31.6,6.1,1785,"Meat,Salad,Sandwich"
628,"Ham_Cheese_&_Pickle_Sandwich,Sweet_Pepper_Garlic_Chicken_Breast,Herbs_Chicken_Breast,Chicken_Caesar_Salad",564,61.099999999999994,22.9,3.8000000000000003,0,28.5,6.7,1772,"Meat,Salad,Sandwich"
629,"Sweet_Pepper_Garlic_Chicken_Breast,Smoked_Salmon_&_Egg_Mayo_Sandwich,Super_Club_Sandwich,Herbs_Chicken_Breast",629,60.5,23.9,3.8,0,43.1,4.800000000000001,1760,"Meat,Sandwich"
630,"Sweet_Pepper_Garlic_Chicken_Breast,Chef_Salad,Super_Club_Sandwich,Herbs_Chicken_Breast",543,57.6,22.1,3.0,0,28.400000000000002,4.800000000000001,1632,"Meat,Salad,Sandwich"
631,"Chicken_Caesar_Salad,Sweet_Pepper_Garlic_Chicken_Breast,Super_Club_Sandwich,Herbs_Chicken_Breast",532,60.0,21.3,3.0,0,25.3,5.4,1619,"Meat,Salad,Sandwich"
632,"Sweet_Pepper_Garlic_Chicken_Breast,Chef_Salad,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",601,59.9,25.8,3.0,0,32.1,3.7,1706,"Meat,Salad,Sandwich"
633,"Chicken_Caesar_Salad,Sweet_Pepper_Garlic_Chicken_Breast,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",590,62.3,25.0,3.0,0,29.0,4.3,1693,"Meat,Salad,Sandwich"
634,"Chicken_Caesar_Salad,Sweet_Pepper_Garlic_Chicken_Breast,Chef_Salad,Herbs_Chicken_Breast",504,59.4,23.200000000000003,2.2,0,14.3,4.3,1565,"Meat,Salad"
635,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",1008,63.7,41.3,6.4,0,95.5,10.899999999999999,2420,"Meat,Wrap"
636,"Caesar_Chicken_Cold_Wrap,Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast",878,63.400000000000006,33.0,7.4,0,81.9,8.899999999999999,2220,"Meat,Wrap"
637,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Peking_Duck_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",814,51.900000000000006,36.2,8.7,0,70.2,9.6,2208,"Meat,Sandwich,Wrap"
638,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Ham_Cheese_&_Pickle_Sandwich,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast",758,51.2,28.6,7.1000000000000005,0,74.0,10.399999999999999,2267,"Meat,Sandwich,Wrap"
639,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Peking_Duck_Cold_Wrap,Super_Club_Sandwich,Herbs_Chicken_Breast",726,50.10000000000001,27.0,6.300000000000001,0,70.8,9.1,2114,"Meat,Sandwich,Wrap"
640,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Peking_Duck_Cold_Wrap,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast",784,52.400000000000006,30.700000000000003,6.300000000000001,0,74.5,8.0,2188,"Meat,Sandwich,Wrap"
641,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast,Chef_Salad",698,49.50000000000001,28.900000000000002,5.5,0,59.8,8.0,2060,"Meat,Salad,Wrap"
642,"Sesame_Chicken_with_Baby_Spinach_Cold_Wrap,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast,Chicken_Caesar_Salad",687,51.900000000000006,28.1,5.5,0,56.7,8.6,2047,"Meat,Salad,Wrap"
643,"Caesar_Chicken_Cold_Wrap,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",1085,72.2,44.699999999999996,7.4,0,98.6,11.1,2301,"Meat,Wrap"
644,"Peking_Duck_Cold_Wrap,Bacon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",1021,60.7,47.9,8.7,0,86.9,11.8,2289,"Meat,Sandwich,Wrap"
645,"Ham_Cheese_&_Pickle_Sandwich,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",965,60.0,40.3,7.1000000000000005,0,90.7,12.6,2348,"Meat,Sandwich,Wrap"
646,"Peking_Duck_Cold_Wrap,Super_Club_Sandwich,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",933,58.900000000000006,38.699999999999996,6.300000000000001,0,87.5,11.3,2195,"Meat,Sandwich,Wrap"
647,"Peking_Duck_Cold_Wrap,Smoked_Salmon_&_Egg_Mayo_Sandwich,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",991,61.2,42.4,6.300000000000001,0,91.2,10.2,2269,"Meat,Sandwich,Wrap"
648,"Chef_Salad,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",905,58.300000000000004,40.599999999999994,5.5,0,76.5,10.2,2141,"Meat,Salad,Wrap"
649,"Chicken_Caesar_Salad,Peking_Duck_Cold_Wrap,Herbs_Chicken_Breast,Smoked_Salmon_&_Egg_Salad_Cold_Wrap",894,60.7,39.8,5.5,0,73.4,10.799999999999999,2128,"Meat,Salad,Wrap"
